species	dsGFP_1	dsGFP_2	dsGFP_3	dsGFP_5	dsCDC9_2	dsCDC9_3	dsCDC9_4	dsCDC9_5
Acinetobacter_sp_V89_7	0	21301993	0	0	463368	0	0	6113971
Acinetobacter_sp_YWS30_1	0	12505035	0	1609480	521184881	4593137	2586390	0
unclassified_Acinetobacter	0	0	0	2351071	354738971	0	0	0
Marinobacter_sp_ELB17	1681410	0	688491	0	391650	1028662	0	24728442
Marinobacter_sp_T13_3	28125430733	65073858294	8388896757	16694686458	8572256958	14612562319	25366861061	1.06E+11
Pseudomonas_sp_LH21	10860677	7994212	12720802	12718287	5981491	83122125	132160005	66817925
Thiopseudomonas_alkaliphila	0	13108133	1354242	2054127	0	0	0	0
Achromatium_sp_WMS3	16088694	46875313	5224973	15242502	8772145	19821495	20685630	123342530
uncultured_Woeseiaceae_bacterium	157685	392262	165555	1633841	1484972	681610	0	10797642
Luteimonas_sp_8_5	0	2516387	119601	999236	1678888	1876120	1839263	26106498
